true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453988,167,13,3,69,9,6,1,2,3,0,2,1,0,1
Bot,5,386,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,3,0,25602,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,1,0,0,2050,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,2,0,0,2,46021,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,2,0,0,0,0,1092,4,0,0,0,0,0,1,0,1
DoS slowloris,0,0,0,0,0,1,1157,0,0,0,0,0,1,0,0
FTP-Patator,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
PortScan,31486,0,0,0,25,0,0,144,0,5,0,81,10,0,10
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,0,0,0,0,0,0,0,0,0,0,0,0,193,2,106
Web Attack - Sql Injection,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Web Attack - XSS,0,0,0,0,0,0,0,0,0,0,0,0,55,1,74
