true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453719,147,7,8,171,10,3,0,0,1,196,0,2,0,1
Bot,21,370,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,5,0,25597,0,3,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,3,0,0,2048,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,15,0,0,5,46005,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,4,0,0,1,0,1091,3,0,0,0,0,0,0,0,1
DoS slowloris,1,0,0,0,0,1,1157,0,0,0,0,0,0,0,0
FTP-Patator,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,1
Heartbleed,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,9,0,0,0,6,0,0,0,0,0,31743,0,3,0,0
SSH-Patator,1,0,0,0,0,0,0,0,0,0,0,1179,0,0,0
Web Attack - Brute Force,3,0,0,0,1,0,0,0,0,0,0,0,199,3,95
Web Attack - Sql Injection,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Web Attack - XSS,2,0,0,0,0,0,0,0,0,0,0,0,66,0,62
