true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453796,161,10,4,73,10,6,3,0,1,199,0,0,0,2
Bot,4,387,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,3,0,25602,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,2053,3,3,0,0,0,0,0,0,0,0,0
DoS Hulk,1,0,0,5,46018,0,0,0,0,0,1,0,0,0,0
DoS Slowhttptest,1,0,0,0,0,1093,3,0,0,0,1,0,1,0,1
DoS slowloris,0,0,0,0,0,1,1157,0,0,0,0,0,0,0,1
FTP-Patator,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,1
Heartbleed,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infiltration,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0
PortScan,3,0,0,0,5,0,0,0,0,0,31751,0,1,0,1
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,1,0,0,0,0,0,0,0,0,0,0,0,195,2,103
Web Attack - Sql Injection,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Web Attack - XSS,0,0,0,0,0,0,0,0,0,0,0,0,45,1,84
