true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453975,35,1,2,55,6,0,0,0,0,191,0,0,0,0
Bot,92,299,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,9,0,25595,0,1,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,6,0,0,2045,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,53,0,0,5,45967,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,5,0,0,0,0,1092,3,0,0,0,0,0,0,0,0
DoS slowloris,1,0,0,0,0,1,1157,0,0,0,0,0,0,0,0
FTP-Patator,1,0,0,0,0,0,0,1585,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PortScan,116,0,0,0,6,0,0,0,0,0,31636,0,3,0,0
SSH-Patator,2,0,0,0,0,0,0,0,0,0,0,1178,0,0,0
Web Attack - Brute Force,3,0,0,0,1,0,0,0,0,0,0,0,244,0,53
Web Attack - Sql Injection,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Web Attack - XSS,4,0,0,0,0,0,0,0,0,0,0,0,82,0,44
