true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453958,0,14,4,74,9,2,2,0,0,199,0,0,1,2
Bot,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,3,0,25602,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,2055,1,3,0,0,0,0,0,0,0,0,0
DoS Hulk,2,0,0,7,46014,0,0,0,0,0,2,0,0,0,0
DoS Slowhttptest,1,0,0,0,0,1094,2,0,0,0,1,0,1,0,1
DoS slowloris,0,0,0,0,0,1,1157,0,0,0,0,0,1,0,0
FTP-Patator,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
PortScan,1,0,0,0,6,0,0,0,0,0,31752,0,2,0,0
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,0,0,0,0,0,0,0,0,0,0,0,0,200,3,98
Web Attack - Sql Injection,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Web Attack - XSS,1,0,0,0,0,0,0,0,0,0,0,0,58,1,70
