true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453971,37,1,1,58,6,0,0,0,0,191,0,0,0,0
Bot,91,300,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,11,0,25592,0,2,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,6,0,0,2045,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,60,0,0,4,45961,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,5,0,0,0,0,1091,3,0,0,0,0,0,1,0,0
DoS slowloris,1,0,0,0,0,1,1157,0,0,0,0,0,0,0,0
FTP-Patator,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,117,0,0,0,6,0,0,0,0,0,31636,0,2,0,0
SSH-Patator,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - Brute Force,3,0,0,0,0,0,0,0,0,0,0,0,242,0,56
Web Attack - Sql Injection,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Web Attack - XSS,4,0,0,0,0,0,0,0,0,0,0,0,84,0,42
