true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453795,166,11,3,73,11,6,2,0,0,198,0,0,0,0
Bot,5,386,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,2,0,25603,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,2051,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,2,0,0,2,46021,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,1,0,0,0,0,1093,3,0,0,0,0,0,2,0,1
DoS slowloris,0,0,0,0,0,1,1157,0,0,0,0,0,1,0,0
FTP-Patator,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PortScan,2,0,0,0,7,0,0,0,0,0,31750,0,2,0,0
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,0,0,0,0,0,0,0,0,0,0,0,0,188,2,111
Web Attack - Sql Injection,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Web Attack - XSS,1,0,0,0,0,0,0,0,0,0,0,0,52,1,76
