true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453683,148,9,6,196,9,3,0,0,3,193,0,1,0,14
Bot,21,370,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,7,0,25594,0,4,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,4,0,0,2047,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,13,0,0,5,46007,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,4,0,0,1,0,1091,3,0,0,0,0,0,0,0,1
DoS slowloris,0,0,0,0,0,1,1157,0,0,0,0,0,0,0,1
FTP-Patator,1,0,0,0,0,0,0,1585,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,16,0,0,0,6,0,0,0,0,0,31736,0,3,0,0
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,3,0,0,0,1,0,0,0,0,0,0,0,217,3,77
Web Attack - Sql Injection,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Web Attack - XSS,3,0,0,0,0,0,0,0,0,0,0,0,66,0,61
