true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453704,145,0,6,181,9,3,0,0,4,196,0,2,0,15
Bot,23,368,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,9420,0,0,0,4274,0,0,0,0,0,11911,0,0,0,0
DoS GoldenEye,4,0,0,2047,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,16,0,0,5,46004,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,4,0,0,1,0,1091,3,0,0,0,0,0,0,0,1
DoS slowloris,0,0,0,0,0,1,1157,0,0,0,0,0,0,0,1
FTP-Patator,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,7,0,0,0,6,0,0,0,0,0,31745,0,3,0,0
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,2,0,0,0,1,0,0,0,0,0,0,0,201,3,94
Web Attack - Sql Injection,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Web Attack - XSS,3,0,0,0,0,0,0,0,0,0,0,0,63,0,64
