true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,454005,0,0,2,56,6,2,0,0,0,193,0,0,0,1
Bot,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,4,0,25601,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,1,0,0,2052,3,3,0,0,0,0,0,0,0,0,0
DoS Hulk,4,0,0,5,46015,0,0,0,0,0,1,0,0,0,0
DoS Slowhttptest,3,0,0,0,0,1092,3,0,0,0,0,0,1,0,1
DoS slowloris,0,0,0,0,0,2,1156,0,0,0,0,0,1,0,0
FTP-Patator,1,0,0,0,0,0,0,1585,0,0,0,0,1,0,0
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,4,0,0,0,8,0,0,0,0,0,31747,0,1,0,1
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,2,0,0,0,0,0,0,0,0,0,0,0,261,0,38
Web Attack - Sql Injection,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Web Attack - XSS,2,0,0,0,0,0,0,0,0,0,0,0,93,1,34
