true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,454009,0,0,2,57,6,0,0,0,0,191,0,0,0,0
Bot,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,9,0,25595,0,1,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,6,0,0,2045,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,62,0,0,5,45958,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,6,0,0,0,0,1091,2,0,0,0,0,0,1,0,0
DoS slowloris,1,0,0,0,0,1,1157,0,0,0,0,0,0,0,0
FTP-Patator,1,0,0,0,0,0,0,1585,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,119,0,0,0,6,0,0,0,0,0,31633,0,3,0,0
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,3,0,0,0,1,0,0,0,0,0,0,0,246,0,51
Web Attack - Sql Injection,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Web Attack - XSS,4,0,0,0,0,0,0,0,0,0,0,0,84,0,42
