true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453906,142,8,8,183,8,3,0,0,2,0,0,1,1,3
Bot,21,370,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,6,0,25595,0,4,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,3,0,0,2048,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,13,0,0,5,46007,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,4,0,0,1,0,1091,3,0,0,0,0,0,0,0,1
DoS slowloris,1,0,0,0,0,1,1157,0,0,0,0,0,0,0,0
FTP-Patator,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,31733,0,13,0,12,0,0,0,0,0,0,0,2,0,1
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,2,0,0,0,1,0,0,0,0,0,0,0,201,2,95
Web Attack - Sql Injection,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Web Attack - XSS,2,0,0,0,0,0,0,0,0,0,0,0,66,0,62
